,,,,,,,,
Morgenmad: Proteinsmoothie & Æg,,,, ,,,,
ingredienser,Mængde,Protein,Fedt,Kulhydrat,Kalorier,,,
Proteinpulver,38,27,3,4,156,,,
Havregryn,94,12,6,62,332,,,
Frosne bær,151,1,0,14,53,,,
Æg,94,12,9,1,129,,,
Total,377,52,18,80,670,,,
,,,,,,,,
Frokost: Asiatisk Kylling,,,,,,,,
ingredienser,Mængde,Protein,Fedt,Kulhydrat,Kalorier,,,
Kylling Brystfilet 1.5%,174,36,3,2,170,,,
Kokusmælk light,92,1,6,4,68,,,
Peanutbutter,7,2,3,1,43,,,
Ris,85,6,1,66,300,,,
Grønsager,212,4,1,5,51,,,
Olie,4,0,4,0,38,,,
Total,575,49,18,78,670,,,
,,,,,,,,
Frokost: Chili Con Carne,,,,,,,,
ingredienser,Mængde,Protein,Fedt,Kulhydrat,Kalorier,,,
Hakket Oksekød 3-6 %,133,28,6,0,169,,,
Kidney Bønner,213,18,0,18,149,,,
Ris,53,4,1,41,186,,,
Hakket tomater,292,3,1,9,58,,,
Løg,122,2,0,12,49,,,
Olie,7,0,7,0,59,,,
Total,819,54,15,80,670,,,
,,,,,,,,
Aftensmad: Røræg med Tun & Grøntsager,,,,,,,,
ingredienser,Mængde,Protein,Fedt,Kulhydrat,Kalorier,,,
Tun i vand,74,19,1,0,82,,,
Æggehvider,118,13,0,1,58,,,
Hvidløg,3,0,0,1,5,,,
Tomat,117,1,0,5,23,,,
Asparges,294,5,1,14,76,,,
Salat,147,2,0,7,37,,,
Olie,9,0,9,0,78,,,
Fuldkornsbrød,147,10,6,53,311,,,
Total,908,50,17,81,670,,,
,,,,,,,,
Snack: Knækbrød m. Hytteost & Laks,,,,,,,,
ingredienser,Mængde,Protein,Fedt,Kulhydrat,Kalorier,,,
Hytteost 1.5%,160,14,2,6,104,,,
Laks,29,6,3,0,52,,,
Knækbrød,45,5,2,33,180,,,
Total,234,24,8,40,335,,,
,,,,,,,,
Morgenmad: Granola Skyr & Passionsfrugt,,,,, ,,,
ingredienser,Mængde,Protein,Fedt,Kulhydrat,Kalorier,,,
Skyr,276,30,1,11,182,,,
Syrup,21,0,0,16,67,,,
Passionsfrugt,25,0,0,1,7,,,
Granola,102,16,20,44,414,,,
Total,424,47,21,72,670,,,
,,,,,,,,
Frokost # 1: Kalkunbryst med Grøntsager & Ris,,,,,,,,
ingredienser,Mængde,Protein,Fedt,Kulhydrat,Kalorier,,,
Kalkunbryst 3%,156,33,4,0,220,,,
Broccoli,67,4,0,4,30,,,
Olie,4,0,4,0,36,,,
Ris,80,6,1,62,281,,,
Grønsager,204,4,1,5,49,,,
Avocado,30,1,5,3,54,,,
Total,541,47,15,74,670,,,
,,,,,,,,
Frokost # 2: Ovnbagt Kalkun & Rodfrugter,,,,,,,,
ingredienser,Mængde,Protein,Fedt,Kulhydrat,Kalorier,,,
Kalkunbryst,190,40,5,0,209,,,
Persillerod,184,4,1,23,101,,,
Pastinak,184,4,1,27,116,,,
Rødebeder,184,3,1,21,94,,,
Gulerøder,184,1,1,16,66,,,
Olie,9,0,9,0,84,,,
Total,936,52,18,87,670,,,
,,,,,,,,
Aftensmad: Quesadilla med Ægwrap,,,,,,,,
ingredienser,Mængde,Protein,Fedt,Kulhydrat,Kalorier,,,
Kylling Brystfilet 1.5%,126,26,2,1,123,,,
Æg,74,9,7,0,102,,,
Jalapeno,15,2,0,11,55,,,
Olie,6,0,6,0,53,,,
Ris,75,5,1,58,264,,,
Salat,177,2,1,8,44,,,
Æggehvide,59,6,0,0,29,,,
Total,473,45,17,79,670,,,
,,,,,,,,
Snack: Proteinshake med Banan + løse mandler,,,,,,,,
ingredienser,Mængde,Protein,Fedt,Kulhydrat,Kalorier,,,
Bodylab Whey protein pulver chokolade,28,20,2,3,114,,,
